wiederaufnahm der sitzungsperiod	resumpt of the session	0-0 1-1 1-2 2-3	-5.66567727612
am 12. dezemb vergang jahr hab die vorsitz der europa sozialdemokrat partei , der europa volkspartei , der demokrat partei der volk europas , freies europa bundnis und der generalsekretar der europa foderation grun partei in ein gemeinsam erklar selb gefordert , dass geklart werd musst , was ein europa partei ist .	on 12 decemb last year , the chairmen of the parti of european socialist , the european peopl 's parti , the liber , democrat and reform parti and the european free allianc and the secretary-gener of the european feder of green parti themselv state in a joint declar that clarif wa need as to what a european parti is .	0-0 1-1 2-2 3-3 4-4 6-5 6-6 7-7 8-8 8-9 11-10 8-11 9-12 10-13 12-14 13-15 14-16 15-17 15-18 15-19 16-20 17-21 24-22 16-23 18-24 27-25 24-26 19-27 27-28 28-29 25-30 24-31 26-32 27-33 28-34 29-35 30-36 30-37 31-38 32-39 30-40 33-41 34-42 39-43 35-44 35-45 36-46 37-47 38-48 42-49 43-50 45-51 45-52 46-53 46-54 47-55 48-56 49-57 50-58 51-59 52-60	-202.604885105
burgerinn und burg steh ja nicht von ungefahr - und das nicht nur in mein land - zum beispiel mitgliedschaft in ein partei sehr skeptisch gegenub .	it is not by chanc that citizen - and not just in my countri - are highli sceptic about thing such as parti membership .	4-0 4-1 5-2 6-3 24-4 10-5 2-6 8-7 9-8 11-9 12-10 13-11 14-12 15-13 16-14 3-15 24-16 24-17 24-18 24-19 18-20 21-21 22-22 19-23 26-24	-106.309307119
herr prasident ! es geht um demokrati .	mr presid , thi is a question of democraci .	0-0 1-1 2-2 3-3 4-4 5-5 4-6 5-7 6-8 7-9	-28.5724638393
es bedarf ein volk , um volksmacht auszuub .	for rule by the nation , you need a nation .	5-0 6-1 6-2 2-3 3-4 4-5 6-6 1-7 2-8 3-9 8-10	-41.975359666
nach amsterdam , koln und helsinki muss wir feststell , dass es im bereich der entwickl der aussen- , sicherheits- und verteidigungspolit erheb fortschritt gibt , und wir dank dem rat und der kommission , dass sie in dies bereich dies fortschritt ermoglicht hab .	we must stress that , after amsterdam , cologn and helsinki , a great deal of progress ha been made in develop the foreign , secur and defenc polici and we would like to thank the council and the commiss for make thi progress possibl in these area .	7-0 6-1 3-2 2-3 2-4 0-5 1-6 2-7 3-8 4-9 5-10 2-11 2-12 3-13 3-14 40-15 41-16 41-17 41-18 41-19 12-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 21-28 26-29 27-30 28-31 28-32 29-33 28-34 29-35 30-36 31-37 32-38 33-39 34-40 42-41 40-42 41-43 42-44 37-45 38-46 39-47 44-48	-171.855849562
wir muss ein eig europa handlungsfah im bereich der aussen- , sicherheits- und verteidigungspolit gewahrleist , die es uns ermoglicht , uns interess gemeinschaft wahrzunehm , aber wir muss gleichzeit auch zum ausdruck bring , dass dies kein alternativ zur transatlant gemeinschaft ist .	we must guarante that europ ha the author to act in the area of foreign , secur and defenc polici , the author which allow us to safeguard our interest jointli ; howev , at the same time , we must make it clear that thi is not an altern to the transatlant allianc .	0-0 1-1 14-2 15-3 4-4 15-5 16-6 24-7 25-8 5-9 6-10 6-11 7-12 8-13 9-14 10-15 11-16 12-17 13-18 13-19 15-20 16-21 24-22 25-23 19-24 19-25 20-26 5-27 21-28 22-29 24-30 24-31 26-32 25-33 29-34 31-35 29-36 29-37 26-38 27-39 28-40 19-41 17-42 5-43 35-44 36-45 36-46 37-47 38-48 38-49 39-50 39-51 40-52 24-53 43-54	-227.627520132
wir sind ein union mit eig gesetzgeb , die zu ein eig rechtsordn gefuhrt hat , mit eig interess aufgrund von binnenmarkt und wahrungsunion . desweg kann es auf die dau innerhalb der europa union kein gebiet von unterschied sicherheitsqualitat mehr geb .	we are a union with our own legisl , which ha result in our own legal system , and with our own interest base on the intern market and monetari union , which is whi area with differ standard of secur within the european union must be a thing of the past .	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 7-9 14-10 13-11 13-12 11-13 11-14 12-15 12-16 15-17 15-18 16-19 17-20 17-21 18-22 39-23 28-24 29-25 21-26 21-27 22-28 23-29 23-30 15-31 15-32 25-33 25-34 36-35 37-36 38-37 39-38 37-39 39-40 31-41 32-42 33-43 34-44 39-45 41-46 42-47 39-48 32-49 32-50 39-51 42-52	-200.232754832
dies muss zusammengefuhrt werd , auch in ein praktisch weis , damit solch unsinn nicht mehr passi .	thi must be merg , includ practic , so that such absurd never occur again .	0-0 1-1 1-2 2-3 4-4 5-5 8-6 10-7 11-8 11-9 12-10 2-11 2-12 2-13 2-14 17-15	-59.9097949431
im bereich der aussenpolit , der gemeinsam sicherheits- und verteidigungspolit , hat die union beschloss , ihr militar und nichtmilitar dimension parallel auszubau .	in the area of foreign polici and the common european secur and defenc polici , the eu ha decid to develop the militari and non-militari dimens in parallel .	0-0 0-1 1-2 2-3 3-4 3-5 4-6 5-7 6-8 5-9 7-10 8-11 9-12 9-13 10-14 12-15 13-16 14-17 14-18 15-19 22-20 12-21 17-22 18-23 19-24 20-25 0-26 21-27 23-28	-92.3056315243
ich begruss zud den bericht von frau lalumièr , der ausserordent hilfreich ist .	i welcom the report by mr lalumièr . it is an except help document .	0-0 1-1 3-2 4-3 5-4 6-5 7-6 13-7 12-8 12-9 10-10 10-11 11-12 7-13 13-14	-47.2452576071
mit ihr ausfuhr zum nichtmilitar krisenmanagement gibt sie uns ein aktionsplan in die hand , der die wichtig , in den nach jahr zu ergreif massnahm auflistet .	what it say about non-militari crisi manag provid us with a checklist , an action list of thing we should be make sure are put in place over the next few year .	2-0 1-1 2-2 2-3 4-4 5-5 5-6 26-7 8-8 9-9 9-10 26-11 14-12 9-13 10-14 26-15 27-16 26-17 27-18 26-19 23-20 26-21 26-22 27-23 26-24 19-25 26-26 26-27 20-28 21-29 22-30 22-31 27-32	-169.860009605
uns projekt basiert im wesent auf ein wertegemeinschaft bzw. muss auf ihr basi .	our project is base , or should be base , fundament on a commun of valu .	0-0 1-1 6-2 2-3 3-4 8-5 9-6 9-7 2-8 3-9 4-10 5-11 6-12 7-13 6-14 7-15 13-16	-55.3786750935
herr prasident ! letzt monat hab wir den europatag gefeiert .	mr presid , last month we celebr europ day .	0-0 1-1 2-2 3-3 4-4 6-5 9-6 8-7 8-8 10-9	-21.2792179953
wir muss die nicht zuletzt durch den kosovokrieg erzwung militar stark konstruktiv weit entwickeln .	we should construct develop the militari capac which the war in kosovo , in particular , ha necessarili brought about .	0-0 1-1 11-2 13-3 6-4 9-5 7-6 6-7 6-8 7-9 6-10 7-11 6-12 6-13 7-14 6-15 7-16 7-17 7-18 7-19 14-20	-90.3054628649
der eu gelang es nicht rechtzeit , die katastroph auf dem balkan aufzuhalt , und fur dies unfah werd wir uns fur imm vor uns kind zu verantwort hab .	the eu did not manag to stop the catastroph in the balkan in time , and we shall forev be account to our children for thi failur .	0-0 1-1 12-2 4-3 2-4 9-5 12-6 7-7 8-8 9-9 10-10 11-11 9-12 12-13 13-14 14-15 19-16 12-17 12-18 26-19 27-20 26-21 24-22 25-23 15-24 16-25 17-26 29-27	-115.464162674
in dies bereich braucht die eu ein glaubwurd und eigenstand polit , wobei es wichtig ist , das engagement der usa und das transatlant bundnis zu bewahr .	the eu must adopt a credibl and independ polici in thi area , but it is import to retain the commit of the unit state and the transatlant link .	4-0 5-1 26-2 24-3 6-4 7-5 8-6 9-7 10-8 0-9 1-10 2-11 11-12 12-13 13-14 13-15 14-16 25-17 26-18 17-19 18-20 19-21 19-22 20-23 20-24 21-25 22-26 23-27 24-28 27-29	-93.6376918479
die nato ist zum gegenwart zeitpunkt die wichtig organisation fur fried und sich in europa .	nato is at present the most import organis for peac and secur in europ .	1-0 2-1 5-2 4-3 6-4 7-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14	-32.0099815935
das heisst , in der frag der gewicht der instrument muss das schwergewicht finanziell und materiell in ein effektiv polit der konfliktpravention lieg .	that mean , as far as weight instrument is concern , that the financi and materi focu must be on an effect conflict prevent polici .	0-0 1-1 2-2 2-3 12-4 6-5 7-6 9-7 11-8 12-9 11-10 11-11 11-12 13-13 14-14 15-15 12-16 10-17 10-18 16-19 17-20 18-21 21-22 21-23 19-24 23-25	-107.993924833
uns ist sogar all daran geleg , dass uns sich unteilbar ist .	in fact , we are veri keen for our secur to be undivid .	9-0 10-1 6-2 8-3 9-4 10-5 10-6 6-7 8-8 9-9 9-10 9-11 10-12 12-13	-62.9661423498
uns fehl bis heut sowohl die polit mechanism als auch die instrument , um konflikt zu vermeid und zu schlicht .	so far , we have had neither the polit mechan nor the instrument to prevent or settl conflict .	2-0 2-1 12-2 0-3 0-4 19-5 19-6 5-7 6-8 7-9 19-10 10-11 11-12 15-13 16-14 19-15 19-16 14-17 20-18	-93.8314249736
ich begluckwunsch den kommissar zu sein vorreiterroll , die er in bezug auf die wirksam gestalt nicht nur der hilf , sond auch von massnahm auf dies gebiet einnimmt .	i congratul the commission on the lead he is set for greater effici not onli in aid , but also in thi area .	0-0 1-1 2-2 3-3 4-4 8-5 6-6 9-7 26-8 28-9 25-10 28-11 14-12 16-13 17-14 18-15 19-16 20-17 21-18 22-19 25-20 26-21 27-22 29-23	-85.2758556963
als berichterstatt des parlament zu den krisenreaktionstrupp , mit den wir uns noch in dies jahr beschaft werd , freu ich mich auf weit diskussion zu dies frag .	i look forward to further debat on these question , be parliament 's rapporteur on the rapid reaction facil that we will be deal with later in the year .	20-0 19-1 19-2 22-3 23-4 24-5 25-6 26-7 27-8 18-9 17-10 3-11 2-12 1-13 4-14 5-15 6-16 6-17 6-18 7-19 10-20 17-21 17-22 6-23 8-24 6-25 13-26 14-27 15-28 28-29	-114.143710229
in mein heimatland ist die mehrzahl der burg geg ein militarisier europas , vor all in anbetracht der tatsach , dass europa uber kernwaff verfug wird und dass die europa rustungsindustri waff in land exportiert , in den die menschenrecht in schwerwieg und groblich weis verletzt werd .	in my own countri the vast major of peopl are against the militaris of europ , especi a europ that will have nuclear weapon at it dispos , a europ where the arm industri are export arm to place around the world where there are mass and gross abus of human right .	0-0 1-1 2-2 2-3 4-4 5-5 5-6 6-7 7-8 4-9 8-10 6-11 10-12 9-13 11-14 12-15 13-16 9-17 11-18 20-19 25-20 24-21 23-22 23-23 24-24 25-25 24-26 12-27 9-28 11-29 16-30 17-31 30-32 30-33 32-34 34-35 31-36 12-37 10-38 43-39 38-40 43-41 43-42 34-43 35-44 43-45 42-46 43-47 43-48 38-49 39-50 39-51 47-52	-240.200196901
die teil der entschliess , die sich auf die kollektiv verteid bezieh , sind gerad im hinblick auf die neutral land ausserst uneindeut formuliert .	with respect to the neutral countri , some of the word in thi resolut is extrem ambigu in relat to collect defenc .	16-0 16-1 17-2 18-3 19-4 20-5 4-6 1-7 2-8 2-9 23-10 23-11 24-12 3-13 6-14 21-15 22-16 23-17 11-18 12-19 9-20 10-21 24-22	-89.4201585427
es war klug , als ziel die integration der westeuropa union in die europa union vorzugeb , und deshalb sind dies debatt so absurd , die im moment innerhalb der westeuropa union stattfind . man versucht , dort neu legitimation fur die parlamentar versamml der westeuropa union zu erfind .	it wa clever to pretend that the aim is to integr the western european union in the european union , which is whi the debat current be held within the western european union are so absurd , tri as they are to invent a new ident for the parliamentari assembl of the western european union .	0-0 1-1 2-2 3-3 15-4 16-5 6-6 5-7 6-8 6-9 7-10 8-11 9-12 9-13 10-14 11-15 12-16 13-17 14-18 16-19 16-20 18-21 18-22 20-23 21-24 27-25 32-26 32-27 28-28 29-29 30-30 30-31 31-32 19-33 22-34 23-35 24-36 35-37 36-38 37-39 37-40 47-41 48-42 49-43 38-44 15-45 40-46 41-47 42-48 43-49 44-50 44-51 45-52 45-53 46-54 49-55	-205.326600919
die letzt kommission hat den fahrplan zur umstrukturier der rustungsindustri u. a. mit zwei mitteil angekurbelt .	the last commiss drove forward the agenda on restructur the defenc industri : there were two commun .	0-0 1-1 2-2 15-3 15-4 16-5 15-6 6-7 7-8 8-9 9-10 9-11 15-12 15-13 15-14 13-15 14-16 16-17	-63.1054594991
das hat vielleicht einigermass funktioniert , wenngleich auch der streit darub , was die optimal form der intervention ist , manch blockiert hat .	thi function perhap to a certain extent , although the fight about what constitut the optimum form of intervent block a great deal .	0-0 4-1 2-2 19-3 19-4 20-5 3-6 5-7 6-8 8-9 3-10 10-11 12-12 3-13 13-14 14-15 15-16 16-17 17-18 21-19 22-20 3-21 3-22 23-23	-109.786644595
letzt bemerk : kommissar patt hat gemeint , wir brauch nicht unbedingt ein institutionell revolution , vielleicht nur reform .	final , commission patten ha said that we do not necessarili need institut revolut , perhap just reform .	0-0 7-1 3-2 4-3 5-4 4-5 7-6 8-7 9-8 10-9 11-10 9-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18	-52.4320397568
zweit , ein signal , die roll des europa parlament bei der ausgestalt ein gemeinsam europa sicherheits- und verteidigungspolit zu berucksicht und zu stark .	secondli , a signal to take account of and strengthen the role of the european parliament in fashion a common european secur and defenc polici .	0-0 1-1 2-2 3-3 19-4 20-5 20-6 11-7 21-8 23-9 5-10 6-11 7-12 7-13 8-14 9-15 10-16 12-17 13-18 14-19 15-20 16-21 17-22 18-23 18-24 24-25	-71.3685064714
man muss feststell , in welch mass dies mechanism und die zweckmass dies verschied element den verschied befind gerecht werd , die sich hier abzeichn .	we must determin the extent of these mechan and the appropri of these variou dimens in term which express the differ sensit indic here .	0-0 1-1 24-2 21-3 6-4 7-5 7-6 8-7 9-8 10-9 11-10 12-11 12-12 13-13 24-14 23-15 24-16 20-17 24-18 15-19 16-20 24-21 24-22 23-23 25-24	-103.996931469
auf jed fall halt wir es fur notwend , dass vor all in bezug auf die national parlament die bindung an jedwed kunftig entwickl in dies bereich sichergestellt wird .	in ani case , it is essenti , particularli with regard to the nation parliament , to guarante their associ with ani futur develop in thi area .	0-0 1-1 2-2 8-3 5-4 5-5 7-6 8-7 10-8 13-9 13-10 14-11 15-12 16-13 17-14 18-15 20-16 27-17 21-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 29-27	-93.4281074083
auf all dies gebiet hab wir vorschlag vorgelegt .	those are all area where we have brought forward propos .	2-0 5-1 1-2 3-3 3-4 5-5 4-6 7-7 7-8 6-9 8-10	-45.6305714253
herr fiori , damit es kein missverstandnis gibt , es handelt sich also um ein antrag auf vertag der abstimm nach artikel 146 der geschaftsordn .	mr fiori , to make thing quit clear , you are therefor ask for the vote to be postpon , pursuant to rule 146(1 ) of the rule of procedur .	0-0 1-1 2-2 2-3 3-4 22-5 22-6 22-7 23-8 22-9 11-10 12-11 17-12 18-13 18-14 19-15 20-16 20-17 17-18 18-19 22-20 20-21 21-22 22-23 21-24 23-25 23-26 24-27 23-28 24-29 25-30	-128.598052526
frau prasidentin , lieb kolleginn und kolleg ! dies ist sich ein ganz wichtig bericht mit ein unzweifelhaft ernst anlieg .	madam presid , ladi and gentlemen , thi is sure an extrem import report on what is without doubt a seriou issu .	1-0 1-1 2-2 3-3 5-4 4-5 7-6 8-7 9-8 10-9 11-10 17-11 13-12 14-13 15-14 17-15 16-16 17-17 17-18 16-19 18-20 19-21 20-22	-75.751792959
aber in dies fall glaub ich , dass dies absolut nicht die vertag der abstimm rechtfertigt .	as it happen , howev , i do not think that thi would in ani way justifi postpon the vote .	6-0 7-1 3-2 0-3 0-4 6-5 5-6 10-7 10-8 4-9 7-10 8-11 12-12 13-13 9-14 9-15 15-16 12-17 13-18 14-19 16-20	-93.7986818327
( das parlament lehnt den antrag auf vertag der abstimm ab . )	( parliament reject the request to postpon the vote )	0-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 12-9	-17.2955208005
ich ersuch dah die kommission , zu interveni , damit das scheng ubereinkomm ohn weit burokrat hemmnis von den italien behord eingehalt wird .	i therefor call upon the commiss to take action to ensur that the schengen agreement is respect and that the bureaucrat interfer of the italian author ceas .	0-0 2-1 1-2 7-3 3-4 4-5 6-6 7-7 16-8 8-9 9-10 9-11 10-12 11-13 12-14 22-15 21-16 8-17 9-18 10-19 15-20 7-21 17-22 18-23 19-24 20-25 7-26 23-27	-114.30972566
wenn wir uns fur streng schutzbestimm fur uns burg entscheid , dann sollt wir nicht den export von gefahr produkt zulass , der von der sucht and profitiert .	if we choos tight protect for our citizen we should not allow the export of more danger product which profit from the addict of other .	0-0 1-1 5-2 5-3 5-4 6-5 7-6 8-7 11-8 12-9 14-10 20-11 15-12 16-13 17-14 4-15 18-16 19-17 21-18 5-19 23-20 24-21 5-22 6-23 26-24 28-25	-100.088109656
wir hab all anderungsantrag abgelehnt , mit den bezweckt werd soll , die ohnehin begrenzt tragweit der vorgeschlag massnahm einzuschrank oder die information uber die todlich wirkung des tabakkonsum zu beschneid , denn dies komm ledig den wunsch der tabaklobby entgeg .	we reject all of the amend which sought to reduc the alreadi veri limit rang of measur that have been propos or to restrict inform on the lethal effect of smoke , becaus they all serv the interest of the tobacco compani ' lobbi .	0-0 4-1 2-2 2-3 2-4 3-5 5-6 39-7 29-8 30-9 12-10 13-11 14-12 14-13 39-14 16-15 18-16 5-17 1-18 1-19 17-20 20-21 29-22 30-23 22-24 23-25 24-26 25-27 26-28 27-29 28-30 31-31 32-32 39-33 35-34 39-35 38-36 39-37 27-38 27-39 28-40 39-41 39-42 39-43 41-44	-189.511987203
einerseit wird der tabakanbau in der union mit uber ein milliard euro jahrlich subventioniert , andererseit wird versucht , den tabakkonsum in der union soweit wie moglich zu reduzi .	on the one hand , tobacco crop are subsidis to the tune of over eur 1 billion a year ; on the other hand , we are tri to reduc the consumpt of tobacco in the union as much as possibl .	0-0 2-1 0-2 0-3 18-4 20-5 20-6 21-7 13-8 14-9 19-10 20-11 9-12 10-13 11-14 10-15 10-16 9-17 12-18 20-19 21-20 22-21 15-22 15-23 14-24 14-25 14-26 17-27 27-28 28-29 19-30 20-31 19-32 20-33 21-34 22-35 23-36 24-37 24-38 25-39 26-40 29-41	-169.485207744
